The top exports %(of_country)s are %(exports_list)s, using the 1992 revision of the HS (Harmonized System) classification. Its top imports are %(imports_list)s.	Die größten Exporte von %(of_country)s waren %(exports_list)s, (gemäß der Revision der HS (Harmonized System) Klassifizierung in 1992). Die größten Importe waren %(imports_list)s.
The top export destinations %(of_country)s are %(destinations)s. The top import origins are %(origins)s.	Die größten Exportziele %(of_country)s waren %(destinations)s. Die Top-Herkunftländer waren %(origins)s.
%(country)s is an island and borders %(maritime_borders)s by sea.	%(country)s ist eine Insel und grenzt per See an %(maritime_borders)s
%(country)s borders %(land_borders)s.	%(country)s grenzt an %(land_borders)s.
%(country)s borders %(land_borders)s by land and %(maritime_borders)s by sea.	%(country)s grenzt an %(land_borders)s zu Lande und %(maritime_borders)s auf dem Seeweg.
In %(year)s %(country)s exported $%(export_val)s, making it the %(export_rank)s largest exporter in the world. 	Im Jahr %(year)s exportierte %(country)s $ %(export_val)s, so dass es das %(export_rank)s größte Exportland der Welt ist. 
During the last five years the exports %(of_country)s have %(increased_decreased)s at an annualized rate of %(change_rate)s%%, from $%(past_export_val)s in %(past_year)s to $%(current_export_val)s in %(current_year)s. 	In den letzten fünf Jahren sind die Exporte %(of_country)s jährlich um %(change_rate)s%% %(increased_decreased)s, von %(past_export_val)s $ in %(past_year)s auf $ %(current_export_val)s in %(current_year)s. 
The most recent exports are led by %(top_export)s which represent %(top_export_pct)s%% of the total exports %(of_country)s, followed by %(second_export)s, which account for %(second_export_pct)s%%.	Den größten Anteil an den Exporten hatte %(top_export)s, das %(top_export_pct)s%% der gesamten Exporte %(of_country)s ausmachte, gefolgt von %(second_export)s, das %(second_export_pct)s%% der Exporte ausmacht.
In %(year)s %(country)s imported $%(import_val)s, making it the %(import_rank)s largest importer in the world. 	Im Jahr %(year)s importierte %(country)s $ %(import_val)s, so dass es in diesem Jahr der %(import_rank)s größte Importeur der Welt war. 
During the last five years the imports %(of_country)s have %(increased_decreased)s at an annualized rate of %(change_rate)s%%, from $%(past_import_val)s in %(past_year)s to $%(current_import_val)s in %(current_year)s. 	In den letzten fünf Jahren haben sich die Einfuhren von %(of_country)s jährlich um %(change_rate)s%% %(increased_decreased)s, von %(past_import_val)s $ im Jahr %(past_year)s auf $ %(current_import_val)s im Jahr %(current_year)s. 
The most recent imports are led by %(top_import)s which represent %(top_import_pct)s%% of the total imports %(of_country)s, followed by %(second_import)s, which account for %(second_import_pct)s%%.	Den größten Anteil an den Importen hatte %(top_import)s, das %(top_import_pct)s%% der Gesamtimporte %(of_country)s ausmachte, gefolgt von %(second_import)s, das %(second_import_pct)s%% der Gesamtimporte ausmachte.
The top export destinations %(of_country)s are %(destinations)s.	Die Top-Exportziele von %(of_country)s sind %(destinations)s.
The top import origins %(of_country)s are %(origins)s.	Die Top-Herkunftsländer von %(of_country) sind %(origins)s.
positive	positiv
negative	negativ
exports	Exporte
imports	Importe
As of %(year)s %(country)s had a %(positive_negative)s trade balance of $%(net_trade)s in net %(exports_imports)s.	Ab dem Jahr %(year)s hatte %(country)s eine %(positive_negative)s Handelsbilanz von $ %(net_trade)s Netto%(exports_imports)s.
still	noch
 As compared to their trade balance in %(year)s when they %(still)s had a %(positive_negative)s trade balance of $%(net_trade)s in net %(exports_imports)s.	 Im Vergleich dazu hatte dieses Land im Jahr %(year)s %(still)s eine %(positive_negative)s Handelsbilanz von $ %(net_trade)s an Netto%(exports_imports)s.
Trade Balance	Handelsbilanz
Destinations	Zielländer
Origins	Herkunftsländer
The economy %(of_country)s has an Economic Complexity Index (ECI) of %(eci)s making it the %(eci_rank)s most complex country. 	Die Wirtschaft %(of_country)s hat einen Index der Wirtschaftlichen Komplexität (ECI) von %(eci)s und ist damit das %(eci_rank)s komplexeste Land. 
%(country)s exports %(num_of_exports)s products with revealed comparative advantage (meaning that its share of global exports is larger than what would be expected from the size of its export economy and from the size of a product’s global market).	%(country)s exportiert %(num_of_exports)s Produkte mit einem Revealed Comparative Advantage (das bedeutet, dass ihr Anteil an den weltweiten Exporten dieses Produktes größer ist als das, was von der Größe der Gesamtexporte dieses Landes und von der Größe des globalen Marktes in diesem Produktes erwartet werden kann).
The product space is a network connecting products that are likely to be co-exported and can be used to predict the evolution of a country’s export structure.	Der Produktraum ist ein Netzwerk, das Produkte verbindet, die wahrscheinlich ko-exportiert werden. Das Netzwerk kann benutzt werden, um die Entwicklung der Exportstruktur eines Landes vorherzusagen.
Economic Complexity %(of_country)s	Wirtschaftliche Komplexität von %(of_country)s
Product Space	Produktraum
increased	erhöht
decreased	verringert
The Economic Complexity ranking %(of_country)s has %(increased_or_decreased)s by %(rank_delta)s places\n                    over the past %(year_range)s years from %(old_eci)s in %(old_year)s to %(current_eci)s in %(current_year)s.	%(of_country)s hat sich in den vergangenen %(year_range)s Jahren um %(rank_delta)s Plätze\n                    im Ranking der Wirtschaftlichen Komplexität %(increased_or_decreased)st, von %(old_eci)s im Jahr %(old_year)s auf %(current_eci)s im Jahr %(current_year)s.
Economic Complexity Ranking	Ranking der Wirtschaftlichen Komplexität
More on %(country)s from our sister sites	Mehr über %(country)s auf unseren Schwester-Webseiten
\n            This treemap shows the municipalities in Brazil that imported products from %(country)s.<br /><br />\n            DataViva is a visualization tool that provides official data on trade, industries, and education throughout Brazil. If you would like more info or to create a similar site get in touch with us at <a href='mailto:oec@media.mit.edu'>oec@media.mit.edu</a>.\n            </p><p><a target='_blank' href='http://dataviva.info/apps/builder/tree_map/secex/all/all/%(dv_country_id)s/bra/?size=import_val&controls=false'>Explore on DataViva &raquo;</a>\n            	\n            Diese Baumkarte zeigt die Gemeinden in Brasilien, die Produkte aus %(country)s importiert haben.<br /><br />\n            DataViva ist ein Visualisierungs-Tool, das offizielle Daten über Handel, Industrie und Bildung in ganz Brasilien veranschaulicht. Für weitere Informationen oder falls Sie eine ähnliche Webseite erstellen möchten, können Sie uns unter den folgenden Kontaktdaten erreichen:  <a href='mailto:oec@media.mit.edu'>oec@media.mit.edu</a>.\n            </p><p><a target='_blank' href='http://dataviva.info/apps/builder/tree_map/secex/all/all/%(dv_country_id)s/bra/?size=import_val&controls=false'>Explore on DataViva &raquo;</a>\n            
\n            This treemap shows the municipalities in Brazil that exported products to %(country)s.\n            </p><p><a target='_blank' href='http://dataviva.info/apps/builder/tree_map/secex/all/all/%(dv_country_id)s/bra/?size=export_val&controls=false'>Explore on DataViva &raquo;</a>\n            	\n            Diese Baumkarte zeigt die Gemeinden in Brasilien, die Produkte nach %(country)s exportieren haben.\n            </p><p><a target='_blank' href='http://dataviva.info/apps/builder/tree_map/secex/all/all/%(dv_country_id)s/bra/?size=export_val&controls=false'>Explore on DataViva &raquo;</a>\n            
Brazilian Municipalities that import from %(country)s	Brasilianischen Gemeinden, die aus %(country)s einzuführen
Brazilian Municipalities that export to %(country)s	Brasilianischen Gemeinden, die nach %(country)s exportieren
Globally Famous People %(of_country)s	Weltweit Berühmte Leute %(of_country)s
This treemap shows the cultural exports %(of_country)s, as proxied by the production of globally famous historical characters.</p><p>%(pantheon_link)s	Diese Baumkarte zeigt die Kulturexporte von %(of_country)s unterteilt nach Städten, gemäß der \Produktion\ von weltweit bekannten historischen Persönlichkeiten Proxy.</p><p>%(pantheon_link)s
Globally Famous People %(of_country)s by City	Weltweit Berühmte Leute %(of_country)s nach Städte
This treemap shows the cultural exports %(of_country)s by city, as proxied by the production of globally famous historical characters.</p><p>%(pantheon_link)s	Diese Baum Karte zeigt die Kulturexporte %(of_country)s von Stadt, wie sie in der Produktion von weltweit bekannten historischen Persönlichkeiten Proxy.</p><p>%(pantheon_link)s
Top Exporter	Top Exporteur
Top Importer	Top Importeur
%(product)s the %(economic_rank)s most traded product	%(product)s ist das am %(economic_rank)s meistgehandelte Produkt
 and the %(pci_rank)s most complex product according to the <a href='/en/rankings/hs92/'>Product Complexity Index (PCI)</a>	und das %(pci_rank)s komplexeste Produkt gemäß der <a href='/en/rankings/hs92/'>Product Complexity Index (PCI)</a>
The top exporters of %(product)s are %(exporters)s. The top importers are %(importers)s.	Die Top-Exporteure von %(product)s sind %(exporters)s. Die Top-Importeure sind %(importers)s.
%(product)s the top export of %(countries)s.	%(product)s ist das Top-Exportprodukt von %(countries)s.
%(product)s the top import of %(countries)s.	%(product)s ist das Top-Import-Produkt von %(countries)s.
%(product)s also known as %(keywords)s.	%(product)s ist auch unter den Namen %(keywords)s bekannt.
%(product)s a %(product_id_length)s digit %(classification)s product.	%(product)s eine %(product_id_length)s-stellige %(classification)s Produkt.
Rank	Rang
ID	Identifikationsnummer
Country	Land
Product	Produkt
Percent	Prozent
Export Value	Exportwert
Net Export Value	Nettoexport
Import Value	Importwert
Net Import Value	Nettoimport
Market Value	Marktwert
Export	Export
Import	Import
GDP	BIP
GDPpc (constant '05 US$)	Pro-Kopf-Einkommen (konstant 05 US $)
GDPpc (current US$)	Pro-Kopf-Einkommen (aktuelle US $)
GDPpc PPP (constant '11)	Pro-Kopf-Einkommen PPP (konstant '11)
GDPpc PPP (current)	Pro-Kopf-Einkommen PPP (aktuell)
ECI	Index der wirtschaftlichen Komplexität
ECI Rank	ECI Rang
Annual Growth Rate (1 year)	jährliche Wachstumsrate (1 Jahr)
Annual Growth Rate (5 year)	jährliche Wachstumsrate (5 Jahre)
Growth Value (1 year)	Wachstumswert (1 Jahr)
Growth Value (5 year)	Wachstumswert (5 Jahre)
Partner	Gesellschafter
Y Axis	Y-Achse
Trade Flow	Handelsvolumen
Start Year	Anfangsjahr
End Year	Endjahr
Profile for %(attr)s	Profil für %(attr)s
